pulse,frames,n_frames,Alice0,Alice1,Bob0,Bob1,total,Alice0_frac,Alice1_frac,Bob0_frac,Bob1_frac
27,"1341,1342,1343,1344",4,10583.5,4170.75,2312.5,1377.0,18443.75,0.5738258217553371,0.22613351406302948,0.1253812267028126,0.07465943747882074
28,"1396,1397",2,7124.0,37516.0,1190.5,3565.0,49395.5,0.14422366409895637,0.7595023838203885,0.024101385753762996,0.07217256632689213
29,"1433,1434,1435",3,7060.0,25464.333333333332,1380.0,2760.3333333333335,36664.666666666664,0.19255595759768715,0.694519701074604,0.03763841664090769,0.0752859246868011
30,"1463,1464,1465,1466",4,3994.5,19541.75,1254.5,2397.0,27187.75,0.14692278691690192,0.718770402111245,0.04614210444041894,0.0881647065314342
31,"1491,1492,1493",3,4931.666666666667,25792.0,1300.0,3689.0,35712.66666666667,0.13809292687935185,0.7222087401295525,0.03640165020814277,0.10329668278295281
32,"1561,1562,1563",3,10612.0,2247.3333333333335,2723.3333333333335,1593.0,17175.666666666668,0.6178508354843092,0.13084402352164884,0.15855764938769965,0.0927474916063423
33,"1622,1623",2,1511.0,21294.0,1250.5,3069.0,27124.5,0.05570609596490258,0.7850467289719626,0.04610223229921289,0.11314494276392191
34,"1677,1678,1679,1680",4,5157.0,1595.0,3680.25,1226.25,11658.5,0.4423382081742934,0.13681005275121155,0.3156709696787751,0.10518076939571987
35,"1738,1739,1740,1741",4,668.25,2625.5,914.0,1905.5,6113.25,0.10931174089068826,0.42947695579274525,0.14951130740604424,0.3116999959105222
36,"1771,1772,1773",3,701.3333333333334,5525.666666666667,1070.6666666666667,2222.6666666666665,9520.333333333334,0.07366688841427121,0.5804068484997024,0.11246104828262316,0.2334652148034032
37,"1809,1810,1811,1812",4,844.25,4419.5,1279.25,2480.5,9023.5,0.09356125671856819,0.48977669418739955,0.1417687150218873,0.27489333407214495
38,"1893,1894,1895",3,3807.0,1175.3333333333333,2053.0,1259.3333333333333,8294.666666666666,0.45896961903230993,0.14169747628998552,0.24750843915769172,0.15182446552001286
39,"1976,1977,1978,1979",4,1988.0,1113.75,1644.25,1223.5,5969.5,0.33302621660105536,0.1865734148588659,0.27544182929893624,0.20495853924114246
40,"2030,2031,2032",3,757.3333333333334,4486.333333333333,915.6666666666666,1398.3333333333333,7557.666666666666,0.10020729502050899,0.5936135491553831,0.12115732368896927,0.1850218321351387
41,"2067,2068,2069",3,759.0,3422.6666666666665,1045.3333333333333,1798.6666666666667,7025.666666666666,0.108032452436305,0.4871661052331926,0.14878777814679509,0.2560136641837074
42,"2136,2137,2138,2139",4,1762.5,953.5,1277.25,1206.75,5200.0,0.3389423076923077,0.18336538461538462,0.245625,0.23206730769230768
43,"2163,2164,2165",3,2200.0,1045.6666666666667,1485.0,1247.0,5977.666666666667,0.36803658060558747,0.1749289020242012,0.24842469190877153,0.2086098254614398
44,"2228,2229,2230",3,572.6666666666666,2674.0,1007.0,1592.3333333333333,5845.999999999999,0.09795871821188278,0.45740677386247014,0.1722545330140267,0.2723799749116205
45,"2262,2263,2264,2265",4,610.75,2333.0,998.25,1373.25,5315.25,0.11490522553031372,0.43892573256196793,0.18780866375052913,0.2583603781571892
46,"2319,2320,2321",3,1519.3333333333333,1003.0,1518.0,1182.0,5222.333333333333,0.29092998021318695,0.1920597434097147,0.2906746664964575,0.22633560988064086
47,"2393,2394,2395",3,685.6666666666666,2661.0,951.3333333333334,1953.3333333333333,6251.333333333333,0.10968326756958516,0.4256691905726778,0.15218086808147596,0.3124666737762611
48,"2424,2425,2426",3,652.3333333333334,2852.6666666666665,880.0,1683.0,6068.0,0.10750384530872337,0.47011645792133594,0.14502307185234015,0.27735662491760055
49,"2458,2459",2,745.0,2300.0,904.5,1904.0,5853.5,0.12727428034509267,0.3929273084479371,0.15452293499615616,0.32527547621081404
